/home/dantopa/Mathematica_files/nb/confidence-01.nb  Aug 23, 2026
{form number, WBS primitive, overall, assess_a, assess_b, assess_c}
1,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",0,1,1,1
2,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",0,1,1,1
3,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
4,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
5,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
6,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
7,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
8,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,-1
9,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,-1,1
10,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
11,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,-1
12,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
13,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
14,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
15,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
16,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
17,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,-1
18,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",0,1,1,1
19,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
20,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
21,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
22,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,-1,1,1
23,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",0,1,1,1
24,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,0,1
25,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,-1,1
26,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,0,1
27,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
28,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,-1
29,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
30,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",0,1,1,1
31,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
32,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,0,1,1
33,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
34,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,0,1,1
35,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
36,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",0,1,1,1
37,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
38,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
39,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,1,1,-1
40,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
41,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
42,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,-1,-1,1
43,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,-1,1
44,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,-1,1
45,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,1,1,1
46,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,1,1,1
47,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,0,1
48,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,0,0,1
49,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
50,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,1,1,1
51,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",0,1,1,1
52,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,-1,1
53,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,-1
54,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
