"form_number","run_uuid","wbs_primitive","overall","assess_a","assess_b","assess_c"
1,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",0,1,1,1
2,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",0,1,1,1
3,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
4,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
5,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
6,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
7,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
8,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,-1
9,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,-1,1
10,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
11,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,-1
12,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
13,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
14,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
15,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
16,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
17,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,-1
18,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",0,1,1,1
19,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
20,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
21,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
22,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,-1,1,1
23,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",0,1,1,1
24,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,0,1
25,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,-1,1
26,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,0,1
27,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
28,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,-1
29,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
30,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",0,1,1,1
31,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
32,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,0,1,1
33,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
34,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,0,1,1
35,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
36,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",0,1,1,1
37,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
38,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
39,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,1,1,-1
40,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
41,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
42,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,-1,-1,1
43,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,-1,1
44,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,-1,1
45,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,1,1,1
46,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,1,1,1
47,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,0,1
48,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,0,0,1
49,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
50,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,1,1,1
51,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",0,1,1,1
52,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,-1,1
53,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,-1
54,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
55,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
56,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
57,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
58,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
59,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
60,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,-1
61,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
62,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,0,1,1
